"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"1",2019-12-16 18:32:39,0,0,0,0,0,0,0,0,0,2,NA,"red/orange, quite blurry"
"2",2019-12-16 18:33:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"3",2019-12-16 18:34:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"4",2019-12-16 18:35:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"5",2019-12-16 18:36:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"6",2019-12-16 18:37:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"7",2019-12-16 18:38:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"8",2019-12-16 18:39:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"9",2019-12-16 18:40:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"10",2019-12-16 18:41:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"11",2019-12-16 18:42:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"12",2019-12-16 18:43:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"13",2019-12-16 18:44:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"14",2019-12-16 18:45:39,0,0,0,0,0,0,0,0,0,2,NA,"no video"
"15",2019-12-16 18:46:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"16",2019-12-16 18:47:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"17",2019-12-16 18:48:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"18",2019-12-16 18:49:39,0,0,0,0,0,0,0,0,0,2,NA,"video back"
"19",2019-12-16 18:50:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"20",2019-12-16 18:51:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"21",2019-12-16 18:52:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"22",2019-12-16 18:53:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"23",2019-12-16 18:54:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"24",2019-12-16 18:55:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"25",2019-12-16 18:56:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"26",2019-12-16 18:57:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"27",2019-12-16 18:58:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"28",2019-12-16 18:59:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"29",2019-12-16 19:00:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"30",2019-12-16 19:01:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"31",2019-12-16 19:02:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"32",2019-12-16 19:03:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"33",2019-12-16 19:04:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"34",2019-12-16 19:05:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"35",2019-12-16 19:06:39,0,1,0,0,0,1,0,0,0,2,NA,"no video 43:30"
"36",2019-12-16 19:07:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"37",2019-12-16 19:08:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"38",2019-12-16 19:09:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"39",2019-12-16 19:10:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"40",2019-12-16 19:11:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"41",2019-12-16 19:12:39,1,0,0,1,0,0,0,0,0,2,NA,"video back"
"42",2019-12-16 19:13:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"43",2019-12-16 19:14:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"44",2019-12-16 19:15:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"45",2019-12-16 19:16:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"46",2019-12-16 19:17:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"47",2019-12-16 19:18:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"48",2019-12-16 19:19:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"49",2019-12-16 19:20:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"50",2019-12-16 19:21:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"51",2019-12-16 19:22:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"52",2019-12-16 19:23:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"53",2019-12-16 19:24:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"54",2019-12-16 19:25:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"55",2019-12-16 19:26:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"56",2019-12-16 19:27:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"57",2019-12-16 19:28:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"58",2019-12-16 19:29:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"59",2019-12-16 19:30:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"60",2019-12-16 19:31:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"61",2019-12-16 19:32:39,0,1,0,0,0,1,0,0,0,2,"sationary",NA
"62",2019-12-16 19:33:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"63",2019-12-16 19:34:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"64",2019-12-16 19:35:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"65",2019-12-16 19:36:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"66",2019-12-16 19:37:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"67",2019-12-16 19:38:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"68",2019-12-16 19:39:39,0,1,0,0,0,1,0,0,0,2,"started moving again",NA
"69",2019-12-16 19:40:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"70",2019-12-16 19:41:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"71",2019-12-16 19:42:39,1,0,0,1,0,0,0,0,0,2,"out of sight, might b r3",NA
"72",2019-12-16 19:43:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"73",2019-12-16 19:44:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"74",2019-12-16 19:45:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"75",2019-12-16 19:46:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"76",2019-12-16 19:47:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"77",2019-12-16 19:48:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"78",2019-12-16 19:49:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"79",2019-12-16 19:50:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"80",2019-12-16 19:51:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"81",2019-12-16 19:52:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"82",2019-12-16 19:53:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"83",2019-12-16 19:54:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"84",2019-12-16 19:55:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"85",2019-12-16 19:56:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"86",2019-12-16 19:57:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"87",2019-12-16 19:58:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"88",2019-12-16 19:59:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"89",2019-12-16 20:00:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"90",2019-12-16 20:01:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"91",2019-12-16 20:02:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"92",2019-12-16 20:03:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"93",2019-12-16 20:04:39,0,0,0,0,0,0,0,0,0,2,NA,NA
