"device_ID","session_start_timeStamp","focal_start_timeStamp","focalVars","Flower Location*","Data Usage"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","2019-06-11,19:52:47","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","2019-06-11,19:57:00","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18","2019-06-12,10:40:30","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:13:53","2019-06-12,16:14:18","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:23:27","2019-06-12,16:23:55","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:25:11","2019-06-12,16:25:26","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,16:34:05","2019-06-12,16:34:11","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,20:22:08","2019-06-12,20:22:22","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:40:02","2019-06-13,15:40:43","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,15:43:02","2019-06-13,15:43:07","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,16:22:08","2019-06-13,16:22:15","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","2019-06-13,17:59:26","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-13,17:55:17","2019-06-13,19:43:43","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-14,17:59:33","2019-06-14,17:59:41","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-15,17:59:45","2019-06-15,17:59:55","Data Usage",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-16,18:00:40","2019-06-16,18:00:46","Data Usage",,
