"device_ID","session_start_timeStamp","dayVars","Observer Type","Observer Name"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:00","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:22:41","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:11","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-10,14:23:29","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:27:33","Data Recorder",,"Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:52:36","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","Moonlight",,
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","Observer Type","Researcher","Alexander"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-11,19:56:50","Data Recorder",,"Calixto"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-06-12,10:40:18","Moonlight",,
