19_12_16_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,no r3,x,Notes,Video File,
0:00:00,,,,,,,,"red/orange, quite blurry",
0:01:00,,,,,,,,,
0:02:00,,,,,,,,,
0:03:00,,,,,,,,,
0:04:00,,,,,,,,,
0:05:00,,,,,,,,,
0:06:00,,,,,,,,,
0:07:00,,,,,,,,,
0:08:00,,,,,,,,,
0:09:00,,,,,,,,,
0:10:00,,,,,,,,,
0:11:00,,,,,,,,,
0:12:00,,,,,,,,,
0:13:00,,,,,,,,no video,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,,,,,,video back ,
0:18:00,,,,,,,,,
0:19:00,,,,,,,,,
0:20:00,,,,,,,,,
0:21:00,1,,,,,,,,
0:22:00,1,,,,,,,,
0:23:00,,,1,,,,,,
0:24:00,,,1,,,,,,
0:25:00,,,1,,,,,,
0:26:00,,,1,,,,,,
0:27:00,,,1,,,,,,
0:28:00,,,1,,,,,,
0:29:00,,,1,,,,,,
0:30:00,,,1,,,,,,
0:31:00,,,1,,,,,,
0:32:00,,,1,,,,,,
0:33:00,,,1,,,,,,
0:34:00,,,1,,,,,no video 43:30,
0:35:00,,,,,,,,,
0:36:00,,,,,,,,,
0:37:00,,,,,,,,,
0:38:00,,,,,,,,,
0:39:00,,,,,,,,,
0:40:00,1,,,,,,,video back,
0:41:00,1,,,,,,,,
0:42:00,1,,,,,,,,
0:43:00,1,,,,,,,,
0:44:00,1,,,,,,,,
0:45:00,1,,,,,,,,
0:46:00,1,,,,,,,,
0:47:00,1,,,,,,,,
0:48:00,1,,,,,,,,
0:49:00,1,,,,,,,,
0:50:00,1,,,,,,,,
0:51:00,1,,,,,,,,
0:52:00,,,1,,,,,,
0:53:00,,,1,,,,,,
0:54:00,,,1,,,,,,
0:55:00,,,1,,,,,,
0:56:00,,,1,,,,,,
0:57:00,,,1,,,,,,
0:58:00,,,1,,,,,,
0:59:00,,,1,,,,,,
1:00:00,,,1,,,,sationary,,
1:01:00,,,1,,,,,,
1:02:00,,,1,,,,,,
1:03:00,,,1,,,,,,
1:04:00,,,1,,,,,,
1:05:00,,,1,,,,,,
1:06:00,,,1,,,,,,
1:07:00,,,1,,,,started moving again,,
1:08:00,,,1,,,,,,
1:09:00,,,,,,,,,
