20_01_16_Cam1,,,,,"not visible: x count, no count: empty",,,,
Time,Region 1,x,Region 2,x,Region 3,x,Notes,Video File,
0:00:00,,,,,,,,,
0:01:00,,,,,,,,,
0:02:00,,,,,,,,,
0:03:00,,,,,,,,,
0:04:00,,,,,,,,,
0:05:00,,,,,,,,,
0:06:00,,,,,,,,,
0:07:00,,,,,,,,,
0:08:00,,,,,,,,,
0:09:00,,,,,,,,,
0:10:00,,,,,,,,,
0:11:00,,,,,,,,,
0:12:00,,,,,,,,,
0:13:00,,,,,,,,,
0:14:00,,,,,,,,,
0:15:00,,,,,,,,,
0:16:00,,,,,,,,,
0:17:00,,,,,,,,,
0:18:00,,,,,,,,,
0:19:00,,,,,,,,,
0:20:00,,,,,,,,,
0:21:00,,,,,,,,,
0:22:00,,,,,,,,,
0:23:00,,,,,,,,,
0:24:00,,,,,,,,,
0:25:00,,,,,,,,,
0:26:00,,,,,,,,,
0:27:00,,,,,,,,,
0:28:00,,,,,,,,,
0:29:00,,,,,,,,,
0:30:00,,,,,,,,,
0:31:00,,,,,,,,,
0:32:00,,,,,,,,,
0:33:00,,,,,,,,,
0:34:00,,,,,,,,,
0:35:00,,,,,,,,,
0:36:00,,,,,,,,,
0:37:00,,,,,,,,,
0:38:00,,,,,,,,,
0:39:00,,,,,,,,,
0:40:00,,,,,,,,,
0:41:00,,,,,,,,,
0:42:00,,,,,,,,,
0:43:00,,,,,,,,,
0:44:00,,,,,,,,,
0:45:00,,,,,,,,,
0:46:00,,,,,,,,,
0:47:00,,,,,,,,,
0:48:00,,,,,,,,,
0:49:00,,,,,,,,,
0:50:00,,,,,,,,,
0:51:00,,,,,,,,,
0:52:00,,,,,,,,,
0:53:00,,,,,,,,,
0:54:00,,,,,,,,,
0:55:00,,,,,,,,,
0:56:00,,,,,,,,,
0:57:00,,,,,,,,,
0:58:00,,,,,,,,,
0:59:00,,,,,,,,,
1:00:00,,,,,,,,,
1:01:00,,,,,,,,,
1:02:00,,,,,,,,,
1:03:00,,,,,1,,entering over main stem,,
1:04:00,,,,,1,1,,,
1:05:00,,,,,1,,,,
1:06:00,,,,,1,1,,,
1:07:00,,,,,1,1,,,
1:08:00,,,,,1,,,,
1:09:00,,,,,1,,,,
1:10:00,1,,,,,,"transition over r2, stationary",,
1:11:00,1,,,,,,,,
1:12:00,1,,,,,,,,
1:13:00,1,,,,,,,,
1:14:00,1,,,,,,,,
1:15:00,1,,,,,,,,
1:16:00,1,,,,,,,,
1:17:00,1,,,,,,,,
